song,artist,credits,last,peak,weeks,date
What If I Told You That I Love You,Ali Gatie,"A.Gatie, Sam Wish, Danny Boy",37,34,5,2020-04-18
Level Of Concern,twenty one pilots,"T.Joseph, P.Meany",-,35,1,2020-04-18
Nice To Meet Ya,Meghan Trainor Featuring Nicki Minaj,Ojivolta,36,36,6,2020-04-18
Death Bed,Powfu Featuring beabadoobee,Otterpop,-,37,1,2020-04-18
Baby Girl,Bryce Vine,(),40,38,2,2020-04-18
July,Noah Cyrus & Leon Bridges,M.Sonier,-,39,4,2020-04-18
Worry About Me,Ellie Goulding Featuring blackbear,(),-,40,1,2020-04-18
Blinding Lights,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",1,1,18,2020-04-25
My Oh My,Camila Cabello Featuring DaBaby,Frank Dukes,4,2,17,2020-04-25
Adore You,Harry Styles,"Kid Harpoon, T.Johnson",2,1,20,2020-04-25
Don't Start Now,Dua Lipa,I.Kirkpatrick,3,1,24,2020-04-25
Say So,Doja Cat,TYSON TRAX,6,5,11,2020-04-25
Everything I Wanted,Billie Eilish,Finneas,5,5,21,2020-04-25
Intentions,Justin Bieber Featuring Quavo,"Poo Bear, The Audibles",8,7,11,2020-04-25
Hot Girl Bummer,blackbear,"A.M.Goldstein, blackbear",7,2,25,2020-04-25
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",9,1,34,2020-04-25
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,"will.i.am, K.Harris",10,10,20,2020-04-25
Stupid Love,Lady Gaga,"BloodPop, Tchami, Max Martin",11,11,8,2020-04-25
Falling,Trevor Daniel,"KC Supreme, Charlie Handsome, Taz Taylor",15,12,15,2020-04-25
The Box,Roddy Ricch,30Roc,16,13,13,2020-04-25
I Love Me,Demi Lovato,"Oakwud, Ten4, Alex Nice",12,12,7,2020-04-25
Break My Heart,Dua Lipa,"Andrew Watt, The Monsters & Strangerz",17,15,4,2020-04-25
Toosie Slide,Drake,OZ,27,16,3,2020-04-25
Ride It.,Regard,Regard,19,17,12,2020-04-25
Sunday Best,Surfaces,"F.Frank, C.Padalecki",21,18,6,2020-04-25
The Bones,Maren Morris,G.Kurstin,22,19,8,2020-04-25
In Your Eyes,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",25,20,4,2020-04-25
Before You Go,Lewis Capaldi,TMS,26,21,15,2020-04-25
Supalonely,BENEE Featuring Gus Dapperton,J.M.Fountain,28,22,4,2020-04-25
Modern Loneliness,Lauv,(),23,23,7,2020-04-25
The Man,Taylor Swift,"J.Little, T.Swift",20,20,12,2020-04-25
The Other Side,SZA X Justin Timberlake,"J.Timberlake, L.Goransson",18,17,8,2020-04-25
Level Of Concern,twenty one pilots,"T.Joseph, P.Meany",35,26,2,2020-04-25
Roses,SAINt JHN,f a l l e n,33,27,3,2020-04-25
Death Bed,Powfu Featuring beabadoobee,Otterpop,37,28,2,2020-04-25
Life Is Good,Future Featuring Drake,"OZ, D.Hill",31,29,6,2020-04-25
Old Me,5 Seconds Of Summer,(),32,30,3,2020-04-25
SUGAR,BrockHampton,"Jabari Manwa, R.Hemnani",30,28,14,2020-04-25
Nice To Meet Ya,Meghan Trainor Featuring Nicki Minaj,Ojivolta,36,32,7,2020-04-25
What If I Told You That I Love You,Ali Gatie,"A.Gatie, Sam Wish, Danny Boy",34,33,6,2020-04-25
You Should Be Sad,Halsey,G.Kurstin,24,13,14,2020-04-25
Baby Girl,Bryce Vine,(),38,35,3,2020-04-25
Worry About Me,Ellie Goulding Featuring blackbear,(),40,36,2,2020-04-25
Young & Alive,Bazzi,(),-,37,1,2020-04-25
July,Noah Cyrus & Leon Bridges,M.Sonier,39,38,5,2020-04-25
Know Your Worth,Khalid x Disclosure,Disclosure,29,18,11,2020-04-25
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,"Diplo, King Henry, Charlie Handsome, J.Moi",-,40,1,2020-04-25
Blinding Lights,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",1,1,19,2020-05-02
My Oh My,Camila Cabello Featuring DaBaby,Frank Dukes,2,2,18,2020-05-02
Say So,Doja Cat,TYSON TRAX,5,3,12,2020-05-02
Don't Start Now,Dua Lipa,I.Kirkpatrick,4,1,25,2020-05-02
Adore You,Harry Styles,"Kid Harpoon, T.Johnson",3,1,21,2020-05-02
Everything I Wanted,Billie Eilish,Finneas,6,5,22,2020-05-02
Intentions,Justin Bieber Featuring Quavo,"Poo Bear, The Audibles",7,7,12,2020-05-02
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",9,1,35,2020-05-02
Hot Girl Bummer,blackbear,"A.M.Goldstein, blackbear",8,2,26,2020-05-02
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,"will.i.am, K.Harris",10,10,21,2020-05-02
Falling,Trevor Daniel,"KC Supreme, Charlie Handsome, Taz Taylor",12,11,16,2020-05-02
The Box,Roddy Ricch,30Roc,13,12,14,2020-05-02
Break My Heart,Dua Lipa,"Andrew Watt, The Monsters & Strangerz",15,13,5,2020-05-02
I Love Me,Demi Lovato,"Oakwud, Ten4, Alex Nice",14,12,8,2020-05-02
Stupid Love,Lady Gaga,"BloodPop, Tchami, Max Martin",11,11,9,2020-05-02
Toosie Slide,Drake,OZ,16,16,4,2020-05-02
Sunday Best,Surfaces,"F.Frank, C.Padalecki",18,17,7,2020-05-02
Ride It.,Regard,Regard,17,17,13,2020-05-02
The Bones,Maren Morris,G.Kurstin,19,19,9,2020-05-02
Supalonely,BENEE Featuring Gus Dapperton,J.M.Fountain,22,20,5,2020-05-02
In Your Eyes,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",20,20,5,2020-05-02
Before You Go,Lewis Capaldi,TMS,21,21,16,2020-05-02
Modern Loneliness,Lauv,(),23,23,8,2020-05-02
Level Of Concern,twenty one pilots,"T.Joseph, P.Meany",26,24,3,2020-05-02
Roses,SAINt JHN,f a l l e n,27,25,4,2020-05-02
Death Bed,Powfu Featuring beabadoobee,Otterpop,28,26,3,2020-05-02
I'm Ready,Sam Smith & Demi Lovato,ILYA,-,27,1,2020-05-02
Life Is Good,Future Featuring Drake,"OZ, D.Hill",29,28,7,2020-05-02
Old Me,5 Seconds Of Summer,(),30,29,4,2020-05-02
The Man,Taylor Swift,"J.Little, T.Swift",24,20,13,2020-05-02
Nice To Meet Ya,Meghan Trainor Featuring Nicki Minaj,Ojivolta,32,31,8,2020-05-02
Baby Girl,Bryce Vine,(),35,32,4,2020-05-02
Worry About Me,Ellie Goulding Featuring blackbear,(),36,33,3,2020-05-02
Young & Alive,Bazzi,(),37,34,2,2020-05-02
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,"Diplo, King Henry, Charlie Handsome, J.Moi",40,35,2,2020-05-02
July,Noah Cyrus & Leon Bridges,M.Sonier,38,36,6,2020-05-02
Savage,Megan Thee Stallion Featuring Beyonce,J White Did It,-,37,1,2020-05-02
The Other Side,SZA X Justin Timberlake,"J.Timberlake, L.Goransson",25,17,9,2020-05-02
What If I Told You That I Love You,Ali Gatie,"A.Gatie, Sam Wish, Danny Boy",33,33,7,2020-05-02
You Should Be Sad,Halsey,G.Kurstin,34,13,15,2020-05-02
My Oh My,Camila Cabello Featuring DaBaby,Frank Dukes,2,1,19,2020-05-09
Blinding Lights,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",1,1,20,2020-05-09
Say So,Doja Cat,TYSON TRAX,3,3,13,2020-05-09
Don't Start Now,Dua Lipa,I.Kirkpatrick,4,1,26,2020-05-09
Adore You,Harry Styles,"Kid Harpoon, T.Johnson",5,1,22,2020-05-09
Intentions,Justin Bieber Featuring Quavo,"Poo Bear, The Audibles",7,6,13,2020-05-09
Everything I Wanted,Billie Eilish,Finneas,6,5,23,2020-05-09
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",8,1,36,2020-05-09
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,"will.i.am, K.Harris",10,9,22,2020-05-09
Falling,Trevor Daniel,"KC Supreme, Charlie Handsome, Taz Taylor",11,10,17,2020-05-09
Hot Girl Bummer,blackbear," A.M.Goldstein, blackbear",9,2,27,2020-05-09
Break My Heart,Dua Lipa,"Andrew Watt, The Monsters & Strangerz",13,12,6,2020-05-09
The Box,Roddy Ricch,30Roc,12,12,15,2020-05-09
Toosie Slide,Drake,OZ,16,14,5,2020-05-09
I Love Me,Demi Lovato,"Oakwud, Ten4, Alex Nice",14,12,9,2020-05-09
Sunday Best,Surfaces,"F.Frank, C.Padalecki",17,16,8,2020-05-09
The Bones,Maren Morris,G.Kurstin,19,17,10,2020-05-09
Supalonely,BENEE Featuring Gus Dapperton,J.M.Fountain,20,18,6,2020-05-09
Ride It.,Regard,Regard,18,17,14,2020-05-09
In Your Eyes,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",21,20,6,2020-05-09
Roses,SAINt JHN,f a l l e n,25,21,5,2020-05-09
Before You Go,Lewis Capaldi,TMS,22,21,17,2020-05-09
Level Of Concern,twenty one pilots,"T.Joseph, P.Meany",24,23,4,2020-05-09
Modern Loneliness,Lauv,(),23,23,9,2020-05-09
Death Bed,Powfu Featuring beabadoobee,Otterpop,26,25,4,2020-05-09
I'm Ready,Sam Smith & Demi Lovato, ILYA,27,26,2,2020-05-09
Stupid Love,Lady Gaga,"BloodPop, Tchami, Max Martin",15,11,10,2020-05-09
Life Is Good,Future Featuring Drake,"OZ, D.Hill",28,28,8,2020-05-09
Old Me,5 Seconds Of Summer,(),29,29,5,2020-05-09
Nice To Meet Ya,Meghan Trainor Featuring Nicki Minaj,Ojivolta,31,30,9,2020-05-09
Savage,Megan Thee Stallion Featuring Beyonce,J White Did It,37,31,2,2020-05-09
Baby Girl,Bryce Vine,(),32,32,5,2020-05-09
Young & Alive,Bazzi,(),34,33,3,2020-05-09
Worry About Me,Ellie Goulding Featuring blackbear,(),33,33,4,2020-05-09
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,"Diplo, King Henry, Charlie Handsome, J.Moi",35,35,3,2020-05-09
July,Noah Cyrus & Leon Bridges,M.Sonier,36,36,7,2020-05-09
Be Kind,Marshmello & Halsey,Marshmello,-,37,1,2020-05-09
If The World Was Ending,JP Saxe Featuring Julia Michaels,Finneas,-,38,1,2020-05-09
Believe It,PARTYNEXTDOOR & Rihanna,"Bizness BOi, Cardiak, NinetyFour",-,39,1,2020-05-09
Blueberry Faygo,Lil Mosey,Callan,-,40,1,2020-05-09
Say So,Doja Cat,TYSON TRAX,3,1,14,2020-05-16
Blinding Lights,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",2,1,21,2020-05-16
My Oh My,Camila Cabello Featuring DaBaby,Frank Dukes,1,1,20,2020-05-16
Don't Start Now,Dua Lipa,I.Kirkpatrick,4,1,27,2020-05-16
Intentions,Justin Bieber Featuring Quavo,"Poo Bear, The Audibles",6,5,14,2020-05-16
Adore You,Harry Styles,"Kid Harpoon, T.Johnson",5,1,23,2020-05-16
Falling,Trevor Daniel,"KC Supreme, Charlie Handsome, Taz Taylor",10,7,18,2020-05-16
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",8,1,37,2020-05-16
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,"will.i.am, K.Harris",9,9,23,2020-05-16
Everything I Wanted,Billie Eilish,Finneas,7,5,24,2020-05-16
Break My Heart,Dua Lipa,"Andrew Watt, The Monsters & Strangerz",12,11,7,2020-05-16
The Box,Roddy Ricch,30Roc,13,12,16,2020-05-16
Toosie Slide,Drake,OZ,14,13,6,2020-05-16
Hot Girl Bummer,blackbear,"A.M.Goldstein, blackbear",11,2,28,2020-05-16
Sunday Best,Surfaces,"F.Frank, C.Padalecki",16,15,9,2020-05-16
Supalonely,BENEE Featuring Gus Dapperton,J.M.Fountain,18,16,7,2020-05-16
The Bones,Maren Morris,G.Kurstin,17,17,11,2020-05-16
Ride It.,Regard,Regard,19,17,15,2020-05-16
Roses,SAINt JHN,f a l l e n,21,19,6,2020-05-16
In Your Eyes,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",20,20,7,2020-05-16
Before You Go,Lewis Capaldi,TMS,22,21,18,2020-05-16
Death Bed,Powfu Featuring beabadoobee,Otterpop,25,22,5,2020-05-16
Level Of Concern,twenty one pilots,"T.Joseph, P.Meany",23,23,5,2020-05-16
I'm Ready,Sam Smith & Demi Lovato,ILYA,26,24,3,2020-05-16
I Love Me,Demi Lovato,"Oakwud, Ten4, Alex Nice",15,12,10,2020-05-16
Be Kind,Marshmello & Halsey,Marshmello,37,26,2,2020-05-16
Modern Loneliness,Lauv,(),24,23,10,2020-05-16
Stuck With U,Ariana Grande & Justin Bieber,G.M.Stone,-,28,1,2020-05-16
Savage,Megan Thee Stallion Featuring Beyonce,J White Did It,31,29,3,2020-05-16
Old Me,5 Seconds Of Summer,(),29,29,6,2020-05-16
Life Is Good,Future Featuring Drake,"OZ, D.Hill",28,28,9,2020-05-16
Baby Girl,Bryce Vine,(),32,32,6,2020-05-16
Young & Alive,Bazzi,(),33,33,4,2020-05-16
Nice To Meet Ya,Meghan Trainor Featuring Nicki Minaj,Ojivolta,30,30,10,2020-05-16
Worry About Me,Ellie Goulding Featuring blackbear,(),34,33,5,2020-05-16
Stupid Love,Lady Gaga,"BloodPop, Tchami, Max Martin",27,11,11,2020-05-16
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,"Diplo, King Henry, Charlie Handsome, J.Moi",35,35,4,2020-05-16
If The World Was Ending,JP Saxe Featuring Julia Michaels,Finneas,38,38,2,2020-05-16
July,Noah Cyrus & Leon Bridges,M.Sonier,36,36,8,2020-05-16
Blueberry Faygo,Lil Mosey,Callan,40,40,2,2020-05-16
Say So,Doja Cat,TYSON TRAX,1,1,15,2020-05-23
Blinding Lights,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",2,1,22,2020-05-23
Don't Start Now,Dua Lipa,I.Kirkpatrick,4,1,28,2020-05-23
Intentions,Justin Bieber Featuring Quavo,"Poo Bear, The Audibles",5,4,15,2020-05-23
My Oh My,Camila Cabello Featuring DaBaby,Frank Dukes,3,1,21,2020-05-23
Adore You,Harry Styles,"Kid Harpoon, T.Johnson",6,1,24,2020-05-23
Falling,Trevor Daniel,"KC Supreme, Charlie Handsome, Taz Taylor",7,7,19,2020-05-23
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,"will.i.am, K.Harris",9,8,24,2020-05-23
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",8,1,38,2020-05-23
Break My Heart,Dua Lipa,"Andrew Watt, The Monsters & Strangerz",11,10,8,2020-05-23
The Box,Roddy Ricch,30Roc,12,11,17,2020-05-23
Toosie Slide,Drake,OZ,13,12,7,2020-05-23
Everything I Wanted,Billie Eilish,Finneas,10,5,25,2020-05-23
Hot Girl Bummer,blackbear,"A.M.Goldstein, blackbear",14,2,29,2020-05-23
Sunday Best,Surfaces,"F.Frank, C.Padalecki",15,15,10,2020-05-23
Roses,SAINt JHN,f a l l e n,19,16,7,2020-05-23
Supalonely,BENEE Featuring Gus Dapperton,J.M.Fountain,16,16,8,2020-05-23
The Bones,Maren Morris,G.Kurstin,17,17,12,2020-05-23
Ride It.,Regard,Regard,18,17,16,2020-05-23
Before You Go,Lewis Capaldi,TMS,21,20,19,2020-05-23
In Your Eyes,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",20,20,8,2020-05-23
Be Kind,Marshmello & Halsey,Marshmello,26,22,3,2020-05-23
Stuck With U,Ariana Grande & Justin Bieber,G.M.Stone,28,23,2,2020-05-23
Death Bed,Powfu Featuring beabadoobee,Otterpop,22,22,6,2020-05-23
Level Of Concern,twenty one pilots,"T.Joseph, P.Meany",23,23,6,2020-05-23
I'm Ready,Sam Smith & Demi Lovato,ILYA,24,24,4,2020-05-23
Savage,Megan Thee Stallion Featuring Beyonce,J White Did It,29,27,4,2020-05-23
Old Me,5 Seconds Of Summer,(),30,28,7,2020-05-23
Baby Girl,Bryce Vine,(),32,29,7,2020-05-23
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,"Diplo, King Henry, Charlie Handsome, J.Moi",37,30,5,2020-05-23
If The World Was Ending,JP Saxe Featuring Julia Michaels,Finneas,38,31,3,2020-05-23
Young & Alive,Bazzi,(),33,32,5,2020-05-23
Blueberry Faygo,Lil Mosey,Callan,40,33,3,2020-05-23
Nice To Meet Ya,Meghan Trainor Featuring Nicki Minaj,Ojivolta,34,30,11,2020-05-23
Worry About Me,Ellie Goulding Featuring blackbear,(),35,33,6,2020-05-23
July,Noah Cyrus & Leon Bridges,M.Sonier,39,36,9,2020-05-23
Life Is Good,Future Featuring Drake,"OZ, D.Hill",31,28,10,2020-05-23
I Love Me,Demi Lovato,"Oakwud, Ten4, Alex Nice",25,12,11,2020-05-23
Modern Loneliness,Lauv,(),27,23,11,2020-05-23
Maniac,Conan Gray,(),-,40,1,2020-05-23
Say So,Doja Cat,TYSON TRAX,1,1,16,2020-05-30
Blinding Lights,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",2,1,23,2020-05-30
Intentions,Justin Bieber Featuring Quavo,"Poo Bear, The Audibles",4,3,16,2020-05-30
Don't Start Now,Dua Lipa,I.Kirkpatrick,3,1,29,2020-05-30
Adore You,Harry Styles,"Kid Harpoon, T.Johnson",6,1,25,2020-05-30
Falling,Trevor Daniel,"KC Supreme, Charlie Handsome, Taz Taylor",7,6,20,2020-05-30
My Oh My,Camila Cabello Featuring DaBaby,Frank Dukes,5,1,22,2020-05-30
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,"will.i.am, K.Harris",8,8,25,2020-05-30
Break My Heart,Dua Lipa,"Andrew Watt, The Monsters & Strangerz",10,9,9,2020-05-30
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",9,1,39,2020-05-30
Toosie Slide,Drake,OZ,12,11,8,2020-05-30
Roses,SAINt JHN,f a l l e n,16,12,8,2020-05-30
Sunday Best,Surfaces,"F.Frank, C.Padalecki",15,13,11,2020-05-30
The Box,Roddy Ricch,30Roc,11,11,18,2020-05-30
Hot Girl Bummer,blackbear,"A.M.Goldstein, blackbear",14,2,30,2020-05-30
Supalonely,BENEE Featuring Gus Dapperton,J.M.Fountain,17,16,9,2020-05-30
The Bones,Maren Morris,G.Kurstin,18,17,13,2020-05-30
Stuck With U,Ariana Grande & Justin Bieber,G.M.Stone,23,18,3,2020-05-30
Ride It.,Regard,Regard,19,17,17,2020-05-30
Be Kind,Marshmello & Halsey,Marshmello,22,20,4,2020-05-30
Before You Go,Lewis Capaldi,TMS,20,20,20,2020-05-30
In Your Eyes,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",21,20,9,2020-05-30
Death Bed,Powfu Featuring beabadoobee,Otterpop,24,22,7,2020-05-30
Savage,Megan Thee Stallion Featuring Beyonce,J White Did It,27,24,5,2020-05-30
Level Of Concern,twenty one pilots,"T.Joseph, P.Meany",25,23,7,2020-05-30
X,Jonas Brothers Featuring Karol G,Shellback,-,26,1,2020-05-30
I'm Ready,Sam Smith & Demi Lovato,ILYA,26,24,5,2020-05-30
Old Me,5 Seconds Of Summer,(),28,28,8,2020-05-30
Watermelon Sugar,Harry Styles,"Kid Harpoon, T.Johnson",-,29,1,2020-05-30
If The World Was Ending,JP Saxe Featuring Julia Michaels,Finneas,31,30,4,2020-05-30
Blueberry Faygo,Lil Mosey,Callan,33,31,4,2020-05-30
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,"Diplo, King Henry, Charlie Handsome, J.Moi",30,30,6,2020-05-30
Baby Girl,Bryce Vine,(),29,29,8,2020-05-30
Rain On Me,Lady Gaga & Ariana Grande,"BloodPop, BURNS",-,34,1,2020-05-30
July,Noah Cyrus & Leon Bridges,M.Sonier,36,35,10,2020-05-30
Young & Alive,Bazzi,(),32,32,6,2020-05-30
Worry About Me,Ellie Goulding Featuring blackbear,(),35,33,7,2020-05-30
Maniac,Conan Gray,(),40,38,2,2020-05-30
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi","Take A Daytrip, Dot Da Genius, Plain Pat",-,39,1,2020-05-30
Oh My God,Alec Benjamin,(),-,40,1,2020-05-30
Say So,Doja Cat,TYSON TRAX,1,1,17,2020-06-06
Blinding Lights,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",2,1,24,2020-06-06
Intentions,Justin Bieber Featuring Quavo,"Poo Bear, The Audibles",3,3,17,2020-06-06
Adore You,Harry Styles,"Kid Harpoon, T.Johnson",5,1,26,2020-06-06
Don't Start Now,Dua Lipa,I.Kirkpatrick,4,1,30,2020-06-06
Falling,Trevor Daniel,"KC Supreme, Charlie Handsome, Taz Taylor",6,6,21,2020-06-06
Break My Heart,Dua Lipa,"Andrew Watt, The Monsters & Strangerz",9,7,10,2020-06-06
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,"will.i.am, K.Harris",8,8,26,2020-06-06
My Oh My,Camila Cabello Featuring DaBaby,Frank Dukes,7,1,23,2020-06-06
Toosie Slide,Drake,OZ,11,10,9,2020-06-06
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",10,1,40,2020-06-06
Roses,SAINt JHN,f a l l e n,12,12,9,2020-06-06
Sunday Best,Surfaces,"F.Frank, C.Padalecki",13,13,12,2020-06-06
The Bones,Maren Morris,G.Kurstin,17,14,14,2020-06-06
Supalonely,BENEE Featuring Gus Dapperton,J.M.Fountain,16,15,10,2020-06-06
Stuck With U,Ariana Grande & Justin Bieber,G.M.Stone,18,16,4,2020-06-06
Savage,Megan Thee Stallion Featuring Beyonce,J White Did It,24,17,6,2020-06-06
Be Kind,Marshmello & Halsey,Marshmello,20,18,5,2020-06-06
Ride It.,Regard,Regard,19,17,18,2020-06-06
Before You Go,Lewis Capaldi,TMS,21,20,21,2020-06-06
Death Bed,Powfu Featuring beabadoobee,Otterpop,23,21,8,2020-06-06
In Your Eyes,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",22,20,10,2020-06-06
The Box,Roddy Ricch,30Roc,14,11,19,2020-06-06
X,Jonas Brothers Featuring Karol G,Shellback,26,24,2,2020-06-06
Watermelon Sugar,Harry Styles,"Kid Harpoon, T.Johnson",29,25,2,2020-06-06
Rain On Me,Lady Gaga & Ariana Grande,"BloodPop, BURNS",34,26,2,2020-06-06
Blueberry Faygo,Lil Mosey,Callan,31,27,5,2020-06-06
If The World Was Ending,JP Saxe Featuring Julia Michaels,Finneas,30,28,5,2020-06-06
Old Me,5 Seconds Of Summer,(),28,28,9,2020-06-06
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,"Diplo, King Henry, Charlie Handsome, J.Moi",32,30,7,2020-06-06
Level Of Concern,twenty one pilots,"T.Joseph, P.Meany",25,23,8,2020-06-06
Baby Girl,Bryce Vine,(),33,29,9,2020-06-06
Like That,Doja Cat Featuring Gucci Mane,TYSON TRAX,-,33,1,2020-06-06
July,Noah Cyrus & Leon Bridges,M.Sonier,35,34,11,2020-06-06
I'm Ready,Sam Smith & Demi Lovato,ILYA,27,24,6,2020-06-06
Rockstar,DaBaby Featuring Roddy Ricch,SethInTheKitchen,-,36,1,2020-06-06
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi","Take A Daytrip, Dot Da Genius, Plain Pat",39,37,2,2020-06-06
Oh My God,Alec Benjamin,(),40,38,2,2020-06-06
Daisies,Katy Perry,The Monsters & Strangerz,-,39,1,2020-06-06
100 Ways,Jackson Wang,(),-,40,1,2020-06-06
Say So,Doja Cat,TYSON TRAX,1,1,18,2020-06-13
Blinding Lights,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",2,1,25,2020-06-13
Intentions,Justin Bieber Featuring Quavo,"Poo Bear, The Audibles",3,3,18,2020-06-13
Adore You,Harry Styles,"Kid Harpoon, T.Johnson",4,1,27,2020-06-13
Don't Start Now,Dua Lipa,I.Kirkpatrick,5,1,31,2020-06-13
Falling,Trevor Daniel,"KC Supreme, Charlie Handsome, Taz Taylor",6,6,22,2020-06-13
Break My Heart,Dua Lipa,"Andrew Watt, The Monsters & Strangerz",7,7,11,2020-06-13
Roses,SAINt JHN,f a l l e n,12,8,10,2020-06-13
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",11,1,41,2020-06-13
Sunday Best,Surfaces,"F.Frank, C.Padalecki",13,10,13,2020-06-13
Toosie Slide,Drake,OZ,10,10,10,2020-06-13
My Oh My,Camila Cabello Featuring DaBaby,Frank Dukes,9,1,24,2020-06-13
Savage,Megan Thee Stallion Featuring Beyonce,J White Did It,17,13,7,2020-06-13
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,"will.i.am, K.Harris",8,8,27,2020-06-13
Supalonely,BENEE Featuring Gus Dapperton,J.M.Fountain,15,15,11,2020-06-13
The Bones,Maren Morris,G.Kurstin,14,14,15,2020-06-13
Stuck With U,Ariana Grande & Justin Bieber,G.M.Stone,16,16,5,2020-06-13
Be Kind,Marshmello & Halsey,Marshmello,18,18,6,2020-06-13
Before You Go,Lewis Capaldi,TMS,20,19,22,2020-06-13
Death Bed,Powfu Featuring beabadoobee,Otterpop,21,20,9,2020-06-13
Rain On Me,Lady Gaga & Ariana Grande,"BloodPop, BURNS",26,21,3,2020-06-13
Ride It.,Regard,Regard,19,17,19,2020-06-13
Watermelon Sugar,Harry Styles,"Kid Harpoon, T.Johnson",25,23,3,2020-06-13
X,Jonas Brothers Featuring Karol G,Shellback,24,24,3,2020-06-13
In Your Eyes,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",22,20,11,2020-06-13
The Box,Roddy Ricch,30Roc,23,11,20,2020-06-13
Blueberry Faygo,Lil Mosey,Callan,27,27,6,2020-06-13
If The World Was Ending,JP Saxe Featuring Julia Michaels,Finneas,28,28,6,2020-06-13
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,"Diplo, King Henry, Charlie Handsome, J.Moi",30,29,8,2020-06-13
Like That,Doja Cat Featuring Gucci Mane,TYSON TRAX,33,30,2,2020-06-13
Rockstar,DaBaby Featuring Roddy Ricch,SethInTheKitchen,36,31,2,2020-06-13
Baby Girl,Bryce Vine,(),32,29,10,2020-06-13
Old Me,5 Seconds Of Summer,(),29,28,10,2020-06-13
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi","Take A Daytrip, Dot Da Genius, Plain Pat",37,34,3,2020-06-13
July,Noah Cyrus & Leon Bridges,M.Sonier,34,34,12,2020-06-13
Daisies,Katy Perry,The Monsters & Strangerz,39,36,2,2020-06-13
Oh My God,Alec Benjamin,(),38,37,3,2020-06-13
100 Ways,Jackson Wang,(),40,38,2,2020-06-13
Mamacita,"Black Eyed Peas, Ozuna + J.Rey Soul","will.i.am, J.Goldstein",-,39,1,2020-06-13
Bang!,AJR,R.Metzger,-,40,1,2020-06-13
Say So,Doja Cat,TYSON TRAX,1,1,19,2020-06-20
Blinding Lights,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",2,1,26,2020-06-20
Intentions,Justin Bieber Featuring Quavo,"Poo Bear, The Audibles",3,3,19,2020-06-20
Falling,Trevor Daniel,"KC Supreme, Charlie Handsome, Taz Taylor",6,4,23,2020-06-20
Adore You,Harry Styles,"Kid Harpoon, T.Johnson",4,1,28,2020-06-20
Don't Start Now,Dua Lipa,I.Kirkpatrick,5,1,32,2020-06-20
Break My Heart,Dua Lipa,"Andrew Watt, The Monsters & Strangerz",7,7,12,2020-06-20
Roses,SAINt JHN,f a l l e n,8,8,11,2020-06-20
Sunday Best,Surfaces,"F.Frank, C.Padalecki",10,9,14,2020-06-20
Savage,Megan Thee Stallion Featuring Beyonce,J White Did It,13,10,8,2020-06-20
