song,artist,credits,last,peak,weeks,date
You Should Be Sad,Halsey,G.Kurstin,16,16,7,2020-03-07
Intentions,Justin Bieber Featuring Quavo,"Poo Bear, The Audibles",17,17,4,2020-03-07
Rare,Selena Gomez,"Sir Nolan, Simon Says",18,18,5,2020-03-07
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,"will.i.am, K.Harris",19,19,13,2020-03-07
Know Your Worth,Khalid x Disclosure,Disclosure,20,20,4,2020-03-07
Falling,Trevor Daniel,"KC Supreme, Charlie Handsome, Taz Taylor",23,21,8,2020-03-07
Cuz I Love You,Lizzo,X Ambassadors,24,22,5,2020-03-07
Say So,Doja Cat,TYSON TRAX,26,23,4,2020-03-07
The Man,Taylor Swift,"J.Little, T.Swift",25,24,5,2020-03-07
The Box,Roddy Ricch,30Roc,27,25,6,2020-03-07
To Die For,Sam Smith,"StarGate, Jimmy Napes",30,26,3,2020-03-07
The Other Side,SZA X Justin Timberlake,"J.Timberlake, L.Goransson",-,27,1,2020-03-07
Stupid Love,Lady Gaga,"BloodPop, Tchami, Max Martin",-,28,1,2020-03-07
Before You Go,Lewis Capaldi,TMS,28,28,8,2020-03-07
Underdog,Alicia Keys,"J.McDaid, Alicia Keys",29,27,8,2020-03-07
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,"E.Sheeran, FRED, Steve Mac",22,16,12,2020-03-07
Ride It.,Regard,Regard,35,32,5,2020-03-07
Make You Mine,Public,"J.Vaughn, M.Alvarado, E.Tuffendsam, B.Lapps",32,30,14,2020-03-07
SUGAR,BrockHampton,"Jabari Manwa, R.Hemnani",33,33,7,2020-03-07
No Judgement,Niall Horan,"J.Bunetta, T.Jesso Jr.",36,35,3,2020-03-07
Sad Tonight,Chelsea Cutler,(),38,36,5,2020-03-07
Yellow Hearts,Ant Saunders,A.Saunders,34,32,10,2020-03-07
HIGHEST IN THE ROOM,Travis Scott,"OZ, Nik D, M.G.Dean",31,21,16,2020-03-07
The Bones,Maren Morris,G.Kurstin,-,39,1,2020-03-07
Loco Contigo,"DJ Snake, J. Balvin & Tyga",DJ Snake,39,39,2,2020-03-07
Don't Start Now,Dua Lipa,I.Kirkpatrick,1,1,18,2020-03-14
Roxanne,Arizona Zervas,"94Skrt, JaeGreen",3,2,16,2020-03-14
Hot Girl Bummer,blackbear,"A.M.Goldstein, blackbear",4,3,19,2020-03-14
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",2,1,28,2020-03-14
Heartless,The Weeknd,"Metro Boomin, The Weeknd, Illangelo, Dre Moon",5,5,15,2020-03-14
Dance Monkey,Tones And I,K.Kersting,6,6,20,2020-03-14
Everything I Wanted,Billie Eilish,Finneas,8,7,15,2020-03-14
Adore You,Harry Styles,"Kid Harpoon, T.Johnson",9,8,14,2020-03-14
Memories,Maroon 5,"A.Levine, The Monsters & Strangerz",7,1,25,2020-03-14
Blinding Lights,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",11,10,12,2020-03-14
My Oh My,Camila Cabello Featuring DaBaby,Frank Dukes,12,11,11,2020-03-14
Lose You To Love Me,Selena Gomez,Mattman & Robin,10,2,20,2020-03-14
Intentions,Justin Bieber Featuring Quavo,"Poo Bear, The Audibles",17,13,5,2020-03-14
Someone You Loved,Lewis Capaldi,TMS,13,1,38,2020-03-14
What A Man Gotta Do,Jonas Brothers,"D.Stewart, R.B.Tedder",14,14,8,2020-03-14
You Should Be Sad,Halsey,G.Kurstin,16,16,8,2020-03-14
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,"will.i.am, K.Harris",19,17,14,2020-03-14
Rare,Selena Gomez,"Sir Nolan, Simon Says",18,18,6,2020-03-14
Know Your Worth,Khalid x Disclosure,Disclosure,20,19,5,2020-03-14
Say So,Doja Cat,TYSON TRAX,23,20,5,2020-03-14
Stupid Love,Lady Gaga,"BloodPop, Tchami, Max Martin",28,21,2,2020-03-14
Falling,Trevor Daniel,"KC Supreme, Charlie Handsome, Taz Taylor",21,21,9,2020-03-14
The Other Side,SZA X Justin Timberlake,"J.Timberlake, L.Goransson",27,23,2,2020-03-14
The Man,Taylor Swift,"J.Little, T.Swift",24,24,6,2020-03-14
Cuz I Love You,Lizzo,X Ambassadors,22,22,6,2020-03-14
The Box,Roddy Ricch,30Roc,25,25,7,2020-03-14
To Die For,Sam Smith,"StarGate, Jimmy Napes",26,26,4,2020-03-14
Before You Go,Lewis Capaldi,TMS,29,28,9,2020-03-14
I Love Me,Demi Lovato,"Oakwud, Ten4, Alex Nice",-,29,1,2020-03-14
Ride It.,Regard,Regard,32,30,6,2020-03-14
SUGAR,BrockHampton,"Jabari Manwa, R.Hemnani",34,31,8,2020-03-14
Make You Mine,Public,"J.Vaughn, M.Alvarado, E.Tuffendsam, B.Lapps",33,30,15,2020-03-14
No Judgement,Niall Horan,"J.Bunetta, T.Jesso Jr.",35,33,4,2020-03-14
Sad Tonight,Chelsea Cutler,(),36,34,6,2020-03-14
The Bones,Maren Morris,G.Kurstin,39,35,2,2020-03-14
Underdog,Alicia Keys,"J.McDaid, Alicia Keys",30,27,9,2020-03-14
Loco Contigo,"DJ Snake, J. Balvin & Tyga",DJ Snake,40,37,3,2020-03-14
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,"E.Sheeran, FRED, Steve Mac",31,16,13,2020-03-14
Modern Loneliness,Lauv,(),-,39,1,2020-03-14
Nice To Meet Ya,Meghan Trainor Featuring Nicki Minaj,Ojivolta,-,40,1,2020-03-14
Don't Start Now,Dua Lipa,I.Kirkpatrick,1,1,19,2020-03-21
Roxanne,Arizona Zervas,"94Skrt, JaeGreen",2,2,17,2020-03-21
Hot Girl Bummer,blackbear,"A.M.Goldstein, blackbear",3,3,20,2020-03-21
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",4,1,29,2020-03-21
Heartless,The Weeknd,"Metro Boomin, The Weeknd, Illangelo, Dre Moon",5,5,16,2020-03-21
Adore You,Harry Styles,"Kid Harpoon, T.Johnson",8,6,15,2020-03-21
Everything I Wanted,Billie Eilish,Finneas,7,7,16,2020-03-21
Blinding Lights,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",10,8,13,2020-03-21
My Oh My,Camila Cabello Featuring DaBaby,Frank Dukes,11,9,12,2020-03-21
Dance Monkey,Tones And I,K.Kersting,6,6,21,2020-03-21
Memories,Maroon 5,"A.Levine, The Monsters & Strangerz",9,1,26,2020-03-21
Intentions,Justin Bieber Featuring Quavo,"Poo Bear, The Audibles",13,12,6,2020-03-21
You Should Be Sad,Halsey,G.Kurstin,16,13,9,2020-03-21
Say So,Doja Cat,TYSON TRAX,20,14,6,2020-03-21
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,"will.i.am, K.Harris",17,15,15,2020-03-21
Stupid Love,Lady Gaga,"BloodPop, Tchami, Max Martin",21,16,3,2020-03-21
Rare,Selena Gomez,"Sir Nolan, Simon Says",18,17,7,2020-03-21
Know Your Worth,Khalid x Disclosure,Disclosure,19,18,6,2020-03-21
The Other Side,SZA X Justin Timberlake,"J.Timberlake, L.Goransson",23,19,3,2020-03-21
Falling,Trevor Daniel,"KC Supreme, Charlie Handsome, Taz Taylor",22,20,10,2020-03-21
What A Man Gotta Do,Jonas Brothers,"D.Stewart, R.B.Tedder",15,14,9,2020-03-21
The Box,Roddy Ricch,30Roc,26,22,8,2020-03-21
I Love Me,Demi Lovato,"Oakwud, Ten4, Alex Nice",29,23,2,2020-03-21
The Man,Taylor Swift,"J.Little, T.Swift",24,24,7,2020-03-21
To Die For,Sam Smith,"StarGate, Jimmy Napes",27,25,5,2020-03-21
Before You Go,Lewis Capaldi,TMS,28,26,10,2020-03-21
Ride It.,Regard,Regard,30,27,7,2020-03-21
SUGAR,BrockHampton,"Jabari Manwa, R.Hemnani",31,28,9,2020-03-21
Make You Mine,Public,"J.Vaughn, M.Alvarado, E.Tuffendsam, B.Lapps",32,29,16,2020-03-21
No Judgement,Niall Horan,"J.Bunetta, T.Jesso Jr.",33,30,5,2020-03-21
Cuz I Love You,Lizzo,X Ambassadors,25,22,7,2020-03-21
Sad Tonight,Chelsea Cutler,(),34,32,7,2020-03-21
Modern Loneliness,Lauv,(),39,33,2,2020-03-21
The Bones,Maren Morris,G.Kurstin,35,34,3,2020-03-21
Loco Contigo,"DJ Snake, J. Balvin & Tyga",DJ Snake,37,35,4,2020-03-21
